,有價證券代號及名稱
8893,037137　保瑞群益3C購07
8894,037138　愛普群益3C購04
8895,037139　南電群益44購02
8896,03713P　聚陽群益42售01
8897,037140　台光電富邦41購02
8898,037141　凌陽富邦3C購01
8899,037142　瑞軒富邦41購01
8900,037143　奇鋐富邦43購02
8901,037144　緯創富邦41購01
8902,037145　緯創富邦41購02
8903,037146　瀚宇博富邦3C購01
8904,037147　宏碁兆豐41購01
8905,037148　聯發科兆豐41購01
8906,037149　大立光兆豐3C購01
8907,03714P　堤維西群益42售01
8908,037150　威健兆豐46購01
8909,037151　文曄兆豐43購01
8910,037152　致伸兆豐44購01
8911,037153　視陽中信41購01
8912,037154　T50反1永豐46購01
8913,037155　美費半永豐42購01
8914,037156　美費半永豐43購01
8915,037157　東元永豐3C購02
8916,037158　台積電永豐43購05
8917,037159　宏碁永豐41購01
8918,03715P　中華群益42售01
8919,037160　燿華永豐41購02
8920,037161　宏達電永豐42購01
8921,037162　華航永豐42購02
8922,037163　長榮航永豐42購03
8923,037164　新光金永豐46購01
8924,037165　緯創永豐42購04
8925,037166　材料永豐45購01
8926,037167　愛普永豐42購01
8927,037168　第一銅國泰42購01
8928,037169　裕隆國泰42購02
8929,03716P　英業達群益43售02
8930,037170　台積電國泰42購03
8931,037171　英業達國泰42購01
8932,037172　微星國泰42購02
8933,037173　威盛國泰42購02
8934,037174　聯發科國泰42購04
8935,037175　新興國泰42購01
8936,037176　新光金國泰42購02
8937,037177　大立光國泰42購02
8938,037178　奇鋐國泰42購03
8939,037179　欣興國泰42購01
8940,03717P　微星群益43售01
8941,037180　緯創國泰42購02
8942,037181　道瓊銀元富41購01
8943,037182　台塑元富3C購01
8944,037183　中砂元富3C購02
8945,037184　聯電元富3C購03
8946,037185　聯電元富41購02
8947,037186　聯電元富41購03
8948,037187　鴻海元富3C購11
8949,037188　鴻海元富46購01
8950,037189　台積電元富42購10
8951,03718P　鉅祥群益43售02
8952,037190　台積電元富43購02
8953,037191　台積電元富46購01
8954,037192　鴻準元富43購02
8955,037193　台積電元富42購01
8956,037194　金像電元富3C購02
8957,037195　玉晶光元富41購01
8958,037196　貿聯元富3C購02
8959,037197　日月光元富46購01
8960,037198　緯穎元富46購01
8961,037199　牧德康和3C購01
8962,03719P　京城群益42售01
8963,037200　視陽康和3C購01
8964,037201　中砂台新3C購01
8965,037202　美時台新3C購01
8966,037203　燿華台新3C購01
8967,037204　瑞軒台新3C購01
8968,037205　聯鈞台新3C購01
8969,037206　新光金第一42購01
8970,037207　晶豪科第一3C購01
8971,037208　智原第一3C購02
8972,037209　上証2X凱基43購04
8973,03720P　愛山林群益42售01
8974,037210　滬深2X凱基43購05
8975,037211　中砂凱基3C購03
8976,037212　美時凱基41購04
8977,037213　金寶凱基3C購01
8978,037214　鴻海凱基3C購20
8979,037215　鴻海凱基3C購21
8980,037216　國巨凱基41購02
8981,037217　台積電凱基3C購22
8982,037218　台積電凱基41購16
8983,037219　智邦凱基3C購02
8984,03721P　裕民群益42售01
8985,037220　海悅凱基3C購02
8986,037221　宏碁凱基3C購03
8987,037222　鴻準凱基43購01
8988,037223　金像電凱基3C購03
8989,037224　友達凱基3C購05
8990,037225　冠德凱基41購03
8991,037226　長榮凱基43購07
8992,037227　裕民凱基3C購04
8993,037228　新光金凱基44購01
8994,037229　智原凱基3C購03
8995,03722P　華航群益43售01
8996,037230　建漢凱基3C購03
8997,037231　景碩凱基3C購01
8998,037232　貿聯凱基3C購02
8999,037233　材料凱基3C購07
9000,037234　致伸凱基43購01
9001,037235　臻鼎凱基3C購03
9002,037236　立積凱基44購03
9003,037237　訊芯凱基43購02
9004,037238　保瑞凱基41購03
9005,037239　愛普凱基3C購05
9006,03723P　台驊控群益43售02
9007,037240　緯穎凱基3C購07
9008,037241　視陽凱基3C購01
9009,037242　富邦媒凱基44購01
9010,037243　香港2X元大43購01
9011,037244　香港2X元大43購03
9012,037245　鴻海元大3C購34
9013,037246　鴻海元大3C購35
9014,037247　鴻海元大3C購36
9015,037248　國巨元大3C購10
9016,037249　國巨元大3C購11
9017,03724P　神基群益42售05
9018,037250　國巨元大43購06
9019,037251　台積電元大3C購35
9020,037252　台積電元大41購22
9021,037253　台積電元大43購08
9022,037254　鴻準元大41購01
9023,037255　鴻準元大43購05
9024,037256　華碩元大41購03
9025,037257　立隆電元大41購01
9026,037258　鉅祥元大41購02
9027,037259　瑞軒元大41購02
9028,03725P　蔚華科群益42售02
9029,037260　華新科元大3C購01
9030,037261　華新科元大3C購02
9031,037262　華新科元大46購01
9032,037263　冠德元大3C購07
9033,037264　冠德元大41購03
9034,037265　冠德元大46購01
9035,037266　長榮元大3C購18
9036,037267　長榮元大41購07
9037,037268　長榮元大43購08
9038,037269　裕民元大3C購10
9039,03726P　緯創群益43售03
9040,037270　裕民元大46購01
9041,037271　華航元大43購02
9042,037272　長榮航元大43購06
9043,037273　新光金元大3C購01
9044,037274　新光金元大44購01
9045,037275　國票金元大3C購01
9046,037276　晶豪科元大43購01
9047,037277　晶豪科元大45購02
9048,037278　晶豪科元大46購01
9049,037279　奇鋐元大3C購10
9050,03727P　華擎群益42售04
9051,037280　奇鋐元大3C購11
9052,037281　奇鋐元大43購06
9053,037282　威強電元大3C購01
9054,037283　智原元大3C購03
9055,037284　智原元大43購01
9056,037285　智原元大46購01
9057,037286　敦泰元大3C購01
9058,037287　敦泰元大41購01
9059,037288　貿聯元大3C購04
9060,037289　貿聯元大41購02
9061,03728P　TPK群益42售01
9062,037290　貿聯元大46購01
9063,037291　台耀元大41購01
9064,037292　四維航元大43購01
9065,037293　同欣電元大3C購01
9066,037294　同欣電元大3C購02
9067,037295　同欣電元大41購01
9068,037296　穎崴元大3C購04
9069,037297　穎崴元大45購03
9070,037298　穎崴元大46購02
9071,037299　采鈺元大41購02
9072,03729P　材料群益42售03
9073,037300　昇陽半元大3C購01
9074,037301　勤誠元大46購01
9075,037302　T50正2國票3C購04
9076,037303　S&P反1國票41購01
9077,037304　和大國票41購01
9078,037305　信錦國票46購01
9079,037306　台積電國票3C購03
9080,037307　台積電國票41購02
9081,037308　台積電國票43購01
9082,037309　精英國票41購02
9083,03730P　和碩群益43售03
9084,037310　華邦電國票41購01
9085,037311　佳世達國票41購01
9086,037312　宏達電國票41購01
9087,037313　宏達電國票42購01
9088,037314　宏達電國票42購02
9089,037315　華航國票3C購03
9090,037316　華航國票41購02
9091,037317　華航國票42購02
9092,037318　新光金國票3C購02
9093,037319　新光金國票42購01
9094,03731P　佳必琪群益42售01
9095,037320　新光金國票44購02
9096,037321　晶豪科國票41購01
9097,037322　玉晶光國票41購01
9098,037323　敦泰國票41購01
9099,037324　材料國票41購01
9100,037325　正文國票41購01
9101,037326　康舒國票41購01
9102,037327　中砂統一46購01
9103,037328　第一銅統一47購01
9104,037329　川湖統一49購02
9105,03732P　啟碁群益42售01
9106,037330　聯電統一48購01
9107,037331　鴻海統一4A購02
9108,037332　智邦統一49購01
9109,037333　海悅統一45購03
9110,037334　鴻準統一47購02
9111,037335　鴻準統一4C購01
9112,037336　燿華統一46購02
9113,037337　聯發科統一46購02
9114,037338　聯發科統一4C購02
9115,037339　長榮統一46購03
9116,03733P　穎崴群益42售04
9117,037340　長榮統一48購01
9118,037341　神基統一48購01
9119,037342　奇鋐統一47購03
9120,037343　智原統一4C購01
9121,037344　玉晶光統一45購01
9122,037345　玉晶光統一46購02
9123,037346　玉晶光統一49購01
9124,037347　聯鈞統一4C購01
9125,037348　凌華統一4C購01
9126,037349　勤誠統一46購01
9127,03734P　鼎基群益42售01
9128,037350　T50正2群益3C購02
9129,037351　聯電群益41購03
9130,037352　鴻海群益3C購22
9131,037353　鴻海群益41購12
9132,037354　鴻海群益42購11
9133,037355　台積電群益44購07
9134,037356　台積電群益44購08
9135,037357　海悅群益3C購03
9136,037358　技嘉群益42購10
9137,037359　友達群益3C購02
9138,03735P　龍德船群益42售02
9139,037360　仲琦群益44購01
9140,037361　宏達電群益3C購01
9141,037362　新興群益44購01
9142,037363　晶豪科群益3C購03
9143,037364　智原群益3C購04
9144,037365　欣興群益3C購03
9145,037366　景碩群益3C購02
9146,037367　緯創群益3C購14
9147,037368　群創群益3C購04
9148,037369　正文群益3C購01
9149,03736P　華東群益42售02
9150,037370　致伸群益44購01
9151,037371　康舒群益3C購02
9152,037372　啟碁群益3C購02
9153,037373　保瑞群益3C購08
9154,037374　愛普群益42購01
9155,037375　南電群益43購02
9156,037376　至上群益3C購02
9157,037377　勤誠群益3C購02
9158,037378　波力群益3C購01
9159,037379　一詮富邦45購01
9160,03737P　至上群益43售01
9161,037380　漢翔富邦41購02
9162,037381　台表科富邦3C購01
9163,037382　洋基富邦3C購01
9164,037383　視陽中信41購02
9165,037384　光寶科國泰42購01
9166,037385　技嘉國泰42購02
9167,037386　瑞昱國泰42購01
9168,037387　毅嘉國泰42購01
9169,037388　一詮國泰42購01
9170,037389　慧洋國泰42購01
9171,03738P　欣巴巴群益42售01
9172,037390　創意國泰42購01
9173,037391　群創國泰42購01
9174,037392　矽力國泰42購01
9175,037393　第一銅台新3C購01
9176,037394　一詮台新3C購01
9177,037395　FBNQ2X永豐3C購01
9178,037396　川湖永豐44購01
9179,037397　精英永豐43購01
9180,037398　一詮永豐41購02
9181,037399　新光金永豐42購01
9182,03739P　臺股指群益42售16
9183,037400　晶豪科永豐42購01
9184,037401　欣興永豐3C購03
9185,037402　創意永豐44購01
9186,037403　聯鈞永豐42購01
9187,037404　立積永豐3C購03
9188,037405　祥碩永豐42購01
9189,037406　祥碩永豐43購01
9190,037407　研揚永豐42購01
9191,037408　勤誠永豐43購02
9192,037409　奇鋐國票41購02
9193,03740P　臺股指群益42售17
9194,037410　創意國票42購01
9195,037411　牧德國票41購03
9196,037412　和碩國票48購01
9197,037413　T50正2凱基3C購05
9198,037414　香港2X凱基44購02
9199,037415　中砂凱基41購01
9200,037416　鴻海凱基3C購22
9201,037417　鴻海凱基3C購23
9202,037418　台積電凱基41購17
9203,037419　台積電凱基43購16
9204,03741P　臺股指群益42售18
9205,037420　精英凱基43購01
9206,037421　鴻準凱基3C購04
9207,037422　一詮凱基41購02
9208,037423　宏達電凱基3C購02
9209,037424　新興凱基41購02
9210,037425　華航凱基46購01
9211,037426　富邦金凱基3C購01
9212,037427　新光金凱基46購01
9213,037428　智原凱基46購01
9214,037429　欣興凱基3C購05
9215,03742P　臺股指群益42售19
9216,037430　緯創凱基3C購13
9217,037431　創意凱基41購05
9218,037432　和碩凱基41購01
9219,037433　祥碩凱基3C購01
9220,037434　祥碩凱基3C購02
9221,037435　祥碩凱基41購01
9222,037436　祥碩凱基43購01
9223,037437　祥碩凱基46購01
9224,037438　隆大凱基3C購03
9225,037439　凌華凱基41購01
9226,03743P　電子類群益42售02
9227,037440　訊芯凱基3C購04
9228,037441　穎崴凱基46購01
9229,037442　研揚凱基3C購01
9230,037443　勤誠凱基3C購03
9231,037444　勤美統一49購01
9232,037445　和大統一45購01
9233,037446　中砂統一49購01
9234,037447　第一銅統一4A購01
9235,037448　台達電統一45購05
9236,037449　金寶統一45購01
9237,03744P　嘉澤中信42售01
9238,037450　鴻海統一56購01
9239,037451　國巨統一48購01
9240,037452　台積電統一56購01
9241,037453　華碩統一48購01
9242,037454　致茂統一46購01
9243,037455　技嘉統一44購02
9244,037456　台光電統一49購02
9245,037457　聯發科統一56購01
9246,037458　鉅祥統一45購01
9247,037459　一詮統一46購01
9248,03745P　臺股指中信43售03
9249,037460　一詮統一48購02
9250,037461　一詮統一48購03
9251,037462　一詮統一49購02
9252,037463　一詮統一4A購01
9253,037464　一詮統一4A購02
9254,037465　皇昌統一45購01
9255,037466　長榮統一56購01
9256,037467　創意統一46購02
9257,037468　華擎統一46購02
9258,037469　立積統一4A購01
9259,03746P　T50正2元富42售03
9260,037470　達興統一46購03
9261,037471　凌華統一4A購01
9262,037472　聯茂統一46購02
9263,037473　勤誠統一4A購01
9264,037474　潤泰新統一46購01
9265,037475　台灣50元富43購01
9266,037476　中砂元富3C購03
9267,037477　鴻海元富42購03
9268,037478　台積電元富45購05
9269,037479　一詮元富3C購01
9270,03747P　祥碩元富42售04
9271,037480　玉山金元富3C購01
9272,037481　欣興元富41購01
9273,037482　創意元富42購01
9274,037483　南寶元富3C購01
9275,037484　和碩元富43購01
9276,037485　祥碩元富3C購01
9277,037486　祥碩元富41購01
9278,037487　祥碩元富41購02
9279,037488　祥碩元富41購03
9280,037489　聯茂元富3C購01
9281,03748P　台積電統一47售10
9282,037490　世紀鋼元富46購01
9283,037491　上証2X元大3C購05
9284,037492　上証2X元大3C購06
9285,037493　滬深2X元大3C購09
9286,037494　滬深2X元大43購03
9287,037495　香港2X元大43購04
9288,037496　香港2X元大43購05
9289,037497　勤美元大3C購04
9290,037498　中砂元大3C購01
9291,037499　中砂元大3C購02
9292,03749P　聯發科統一42售04
9293,037500　中砂元大43購01
9294,037501　信錦元大3C購02
9295,037502　信錦元大41購01
9296,037503　鴻海元大3C購37
9297,037504　鴻海元大3C購38
9298,037505　鴻海元大3C購39
9299,037506　宏碁元大3C購14
9300,037507　宏碁元大43購04
9301,037508　宏碁元大46購03
9302,037509　鴻準元大41購02
9303,03750P　台積電台新42售04
9304,037510　鴻準元大43購06
9305,037511　鴻準元大46購01
9306,037512　英業達元大3C購05
9307,037513　英業達元大43購02
9308,037514　燿華元大3C購07
9309,037515　毅嘉元大3C購01
9310,037516　鉅祥元大3C購03
9311,037517　一詮元大3C購02
9312,037518　長榮元大3C購19
9313,037519　長榮元大41購08
9314,03751P　英業達凱基42售03
9315,037520　長榮元大43購09
9316,037521　裕民元大3C購11
9317,037522　華航元大43購03
9318,037523　長榮航元大43購07
9319,037524　富邦金元大41購01
9320,037525　國泰金元大3C購03
9321,037526　奇鋐元大3C購12
9322,037527　奇鋐元大3C購13
9323,037528　奇鋐元大43購07
9324,037529　昇貿元大41購01
9325,03752P　愛山林凱基42售01
9326,037530　創意元大3C購05
9327,037531　創意元大41購04
9328,037532　創意元大43購01
9329,037533　貿聯元大41購03
9330,037534　致伸元大3C購01
9331,037535　致伸元大41購01
9332,037536　致伸元大46購01
9333,037537　祥碩元大3C購01
9334,037538　祥碩元大3C購02
9335,037539　祥碩元大3C購03
9336,03753P　華航凱基42售01
9337,037540　祥碩元大3C購04
9338,037541　祥碩元大41購01
9339,037542　祥碩元大46購01
9340,037543　研揚元大3C購02
9341,037544　研揚元大3C購03
9342,037545　研揚元大41購01
9343,037546　寶成元大3C購02
9344,037547　滬深2X群益3C購04
9345,037548　中砂群益42購03
9346,037549　美時群益3C購01
9347,03754P　緯創凱基42售05
9348,037550　鴻海群益3C購23
9349,037551　鴻海群益3C購24
9350,037552　仁寶群益3C購02
9351,037553　國巨群益3C購02
9352,037554　台積電群益44購09
9353,037555　台積電群益44購10
9354,037556　精英群益44購01
9355,037557　海悅群益3C購04
9356,037558　宏碁群益3C購04
9357,037559　鴻準群益3C購04
9358,03755P　新日興凱基42售03
9359,037560　金像電群益3C購03
9360,037561　台光電群益3C購05
9361,037562　友達群益3C購03
9362,037563　偉詮電群益41購01
9363,037564　偉詮電群益44購01
9364,037565　一詮群益44購01
9365,037566　新光金群益3C購02
9366,037567　新光金群益3C購03
9367,037568　智原群益42購01
9368,037569　創意群益44購02
9369,03756P　啟碁凱基42售01
9370,037570　群創群益41購03
9371,037571　和碩群益43購02
9372,037572　祥碩群益44購01
9373,037573　祥碩群益46購01
9374,037574　訊芯群益3C購03
9375,037575　保瑞群益42購01
9376,037576　穎崴群益42購01
9377,037577　愛普群益42購02
9378,037578　研揚群益46購01
9379,037579　勤誠群益3C購03
9380,03757P　穎崴凱基42售01
9381,037580　明基材群益3C購01
9382,037581　T50反1永豐46購02
9383,037582　T50反1永豐46購03
9384,037583　信錦永豐42購02
9385,037584　美時永豐42購04
9386,037585　金寶永豐3C購01
9387,037586　精英永豐41購02
9388,037587　聯發科永豐41購02
9389,037588　奇鋐永豐3C購04
9390,037589　材料永豐41購03
9391,03758P　至上凱基42售01
9392,037590　愛普永豐43購01
9393,037591　聚陽中信3C購01
9394,037592　光寶科中信43購01
9395,037593　新光金中信41購01
9396,037594　立積中信41購01
9397,037595　祥碩中信3C購01
9398,037596　祥碩中信41購01
9399,037597　研揚中信3C購01
9400,037598　一詮兆豐43購01
9401,037599　祥碩兆豐42購01
9402,03759P　欣巴巴凱基42售02
9403,037600　祥碩台新3C購01
9404,037601　晶心科台新3C購01
9405,037602　元債2X元富4C購01
9406,037603　元金2X元富3C購02
9407,037604　FB越南元富42購01
9408,037605　東元元富46購01
9409,037606　上銀元富46購01
9410,037607　裕隆元富43購01
9411,037608　國巨元富46購01
9412,037609　精英元富41購01
9413,03760P　臺股指凱基42售17
9414,037610　聯發科元富44購10
9415,037611　一詮元富3C購02
9416,037612　中石化國票42購01
9417,037613　智邦國票41購01
9418,037614　微星國票41購02
9419,037615　建準國票45購01
9420,037616　開發金國票42購01
9421,037617　明泰國票41購01
9422,037618　華擎國票41購01
9423,037619　貿聯國票41購02
9424,03761P　電子類凱基42售01
9425,037620　致伸國票46購01
9426,037621　研揚國票41購01
9427,037622　台達電富邦3C購02
9428,037623　金寶富邦3C購01
9429,037624　大同富邦41購02
9430,037625　毅嘉富邦3C購01
9431,037626　長榮航富邦3C購02
9432,037627　新光金富邦44購01
9433,037628　智原富邦3C購01
9434,037629　材料富邦43購01
9435,03762P　台灣50群益42售05
9436,037630　祥碩富邦42購01
9437,037631　凌華富邦45購01
9438,037632　勤誠富邦3C購01
9439,037633　上証2X凱基3C購03
9440,037634　滬深2X凱基3C購03
9441,037635　香港2X凱基43購06
9442,037636　中砂凱基3C購04
9443,037637　楠梓電凱基3C購01
9444,037638　鴻海凱基3C購24
9445,037639　廣宇凱基41購02
9446,03763P　台灣50群益42售06
9447,037640　台積電凱基3C購23
9448,037641　台積電凱基43購17
9449,037642　技嘉凱基3C購04
9450,037643　台光電凱基3C購04
9451,037644　毅嘉凱基3C購03
9452,037645　偉詮電凱基3C購01
9453,037646　偉詮電凱基41購01
9454,037647　偉詮電凱基44購01
9455,037648　一詮凱基3C購04
9456,037649　宏達電凱基3C購03
9457,03764P　台灣50群益42售07
9458,037650　長榮凱基41購06
9459,037651　雲品凱基3C購01
9460,037652　新光金凱基44購02
9461,037653　晶豪科凱基45購01
9462,037654　智原凱基45購01
9463,037655　欣興凱基3C購06
9464,037656　緯創凱基3C購14
9465,037657　創意凱基43購04
9466,037658　貿聯凱基41購01
9467,037659　上緯控凱基3C購04
9468,03765P　聯發科群益42售28
9469,037660　臻鼎凱基3C購04
9470,037661　祥碩凱基3C購04
9471,037662　保瑞凱基3C購07
9472,037663　愛普凱基3C購06
9473,037664　采鈺凱基3C購02
9474,037665　勤誠凱基3C購04
9475,037666　台灣50元大41購05
9476,037667　台灣50元大41購06
9477,037668　台灣50元大43購04
9478,037669　元債2X元大43購01
9479,03766P　偉訓群益42售03
9480,037670　元債2X元大43購02
9481,037671　元債2X元大44購03
9482,037672　美債2X元大43購01
9483,037673　美債2X元大43購02
9484,037674　信錦元大3C購03
9485,037675　聯電元大3C購02
9486,037676　聯電元大3C購03
9487,037677　聯電元大43購02
9488,037678　鴻海元大3C購40
9489,037679　鴻海元大3C購41
9490,03767P　碩天群益42售01
9491,037680　鴻海元大3C購42
9492,037681　台積電元大3C購36
9493,037682　台積電元大3C購37
9494,037683　台積電元大41購23
9495,037684　精英元大3C購02
9496,037685　宏碁元大3C購15
9497,037686　宏碁元大3C購16
9498,037687　宏碁元大43購05
9499,037688　鴻準元大3C購10
9500,037689　鴻準元大3C購11
9501,03768P　T50正2元大44售03
9502,037690　鴻準元大41購03
9503,037691　燿華元大3C購08
9504,037692　微星元大3C購04
9505,037693　微星元大41購02
9506,037694　微星元大43購01
9507,037695　台光電元大3C購03
9508,037696　長榮元大3C購20
9509,037697　長榮元大41購09
9510,037698　長榮元大43購10
9511,037699　台驊控元大41購01
9512,03769P　鴻海元大42售08
9513,037700　新光金元大43購02
9514,037701　蔚華科元大3C購01
9515,037702　蔚華科元大3C購02
9516,037703　蔚華科元大41購01
9517,037704　景碩元大41購01
9518,037705　明泰元大3C購01
9519,037706　明泰元大3C購02
9520,037707　創意元大3C購06
9521,037708　創意元大41購05
9522,037709　創意元大43購02
9523,03770P　興富發元大42售01
9524,037710　貿聯元大3C購05
9525,037711　貿聯元大44購01
9526,037712　神達元大3C購02
9527,037713　神達元大3C購03
9528,037714　材料元大3C購05
9529,037715　材料元大3C購06
9530,037716　材料元大3C購07
9531,037717　材料元大43購01
9532,037718　致伸元大41購02
9533,037719　立積元大3C購04
9534,03771P　奇鋐元大42售01
9535,037720　瀚宇博元大41購01
9536,037721　啟碁元大3C購01
9537,037722　訊芯元大41購02
9538,037723　研揚元大3C購04
9539,037724　研揚元大3C購05
9540,037725　研揚元大41購02
9541,037726　臺股指元大43購25
9542,037727　臺股指元大43購26
9543,037728　臺股指元大43購27
9544,037729　臺股指元大43購28
9545,03772P　玉晶光元大42售02
9546,037730　臺股指元大43購29
9547,037731　中砂群益42購04
9548,037732　台積電群益3C購11
9549,037733　台積電群益43購09
9550,037734　鴻準群益3C購05
9551,037735　瑞昱群益3C購01
9552,037736　宏達電群益3C購02
9553,037737　冠德群益3C購03
9554,037738　華航群益3C購03
9555,037739　威強電群益41購02
9556,03773P　臺股指元大42售19
9557,037740　智原群益42購02
9558,037741　欣興群益3C購04
9559,037742　蔚華科群益3C購01
9560,037743　緯創群益42購09
9561,037744　創意群益42購06
9562,037745　祥碩群益3C購01
9563,037746　祥碩群益3C購02
9564,037747　祥碩群益41購01
9565,037748　祥碩群益41購02
9566,037749　祥碩群益42購01
9567,03774P　臺股指元大42售20
9568,037750　采鈺群益3C購01
9569,037751　勤誠群益3C購04
9570,037752　寶成群益42購01
9571,037753　華邦電中信3C購01
9572,037754　欣興中信44購01
9573,037755　群創中信3C購02
9574,037756　T50正2永豐41購03
9575,037757　A50正2永豐3C購01
9576,037758　台達電永豐41購02
9577,037759　台積電永豐41購05
9578,03775P　臺股指元大42售21
9579,037760　智邦永豐43購01
9580,037761　冠德永豐41購01
9581,037762　緯創永豐42購05
9582,037763　玉晶光永豐42購02
9583,037764　上緯控永豐41購02
9584,037765　立積永豐3C購04
9585,037766　祥碩永豐44購01
9586,037767　鴻準台新3C購02
9587,037768　新興台新3C購01
9588,037769　潤隆富邦46購01
9589,03776P　臺股指元大43售47
9590,037770　致伸富邦43購01
9591,037771　華孚富邦43購01
9592,037772　臺股指富邦3C購13
9593,037773　正文第一3C購01
9594,037774　台灣50凱基41購08
9595,037775　台灣50凱基41購09
9596,037776　台灣50凱基43購08
9597,037777　聚陽凱基3C購01
9598,037778　聯電凱基43購02
9599,037779　台達電凱基41購03
9600,03777P　T50正2富邦43售03
9601,037780　鴻海凱基43購12
9602,037781　台積電凱基3C購24
9603,037782　台積電凱基46購07
9604,037783　宏碁凱基3C購04
9605,037784　鴻準凱基3C購05
9606,037785　技嘉凱基43購05
9607,037786　微星凱基41購01
9608,037787　盟立凱基41購02
9609,037788　長榮凱基3C購14
9610,037789　華航凱基3C購02
9611,03778P　臺股指富邦42售19
9612,037790　新光金凱基3C購02
9613,037791　晶豪科凱基46購01
9614,037792　大立光凱基46購02
9615,037793　威強電凱基3C購01
9616,037794　智原凱基3C購04
9617,037795　欣興凱基3C購07
9618,037796　玉晶光凱基44購01
9619,037797　創意凱基41購06
9620,037798　貿聯凱基3C購03
9621,037799　上緯控凱基3C購05
9622,03779P　緯穎中信42售03
9623,037800　材料凱基3C購09
9624,037801　正文凱基41購01
9625,037802　致伸凱基3C購05
9626,037803　保瑞凱基45購01
9627,037804　愛普凱基43購01
9628,037805　研揚凱基3C購02
9629,037806　研揚凱基41購01
9630,037807　南電凱基44購01
9631,037808　臺股指凱基43購39
9632,037809　臺股指凱基43購40
9633,03780P　亞翔群益43售03
9634,037810　臺股指凱基43購41
9635,037811　聚陽國票41購01
9636,037812　中興電國票41購02
9637,037813　美時國票42購03
9638,037814　川湖國票42購02
9639,037815　裕隆國票41購01
9640,037816　華通國票41購01
9641,037817　鴻海國票41購05
9642,037818　仁寶國票41購01
9643,037819　廣宇國票3C購01
9644,03781P　FBNQ2X元大44售03
9645,037820　廣宇國票41購01
9646,037821　華泰國票41購01
9647,037822　宏碁國票41購02
9648,037823　英業達國票41購01
9649,037824　台光電國票41購01
9650,037825　群光國票41購01
9651,037826　威盛國票41購01
9652,037827　毅嘉國票3C購01
9653,037828　毅嘉國票41購01
9654,037829　盟立國票41購01
9655,03782P　FBNQ2X元大44售04
9656,037830　冠德國票41購01
9657,037831　長榮國票41購03
9658,037832　智原國票41購01
9659,037833　欣興國票41購02
9660,037834　緯創國票43購01
9661,037835　正文國票41購02
9662,037836　愛普國票3C購03
9663,037837　愛普國票41購01
9664,037838　洋基國票41購01
9665,037839　視陽國票41購01
9666,03783P　聯發科元大43售12
9667,037840　南電國票41購01
9668,037841　T50正2元大41購04
9669,037842　道瓊2X元大43購01
9670,037843　聯電元大3C購04
9671,037844　聯電元大3C購05
9672,037845　聯電元大43購03
9673,037846　鴻海元大3C購43
9674,037847　鴻海元大3C購44
9675,037848　鴻海元大3C購45
9676,037849　中環元大41購01
9677,03784P　聯發科元大43售13
9678,037850　仁寶元大41購01
9679,037851　台積電元大3C購38
9680,037852　台積電元大3C購39
9681,037853　台積電元大41購24
9682,037854　宏碁元大3C購17
9683,037855　宏碁元大43購06
9684,037856　宏碁元大44購03
9685,037857　鴻準元大3C購12
9686,037858　鴻準元大3C購13
9687,037859　鴻準元大41購04
9688,03785P　奇鋐元大43售11
9689,037860　燿華元大43購02
9690,037861　金像電元大3C購02
9691,037862　金像電元大3C購03
9692,037863　金像電元大44購01
9693,037864　微星元大3C購05
9694,037865　微星元大3C購06
9695,037866　微星元大41購03
9696,037867　盟立元大3C購02
9697,037868　盟立元大3C購03
9698,037869　盟立元大3C購04
9699,03786P　玉晶光元大43售10
9700,037870　長榮元大3C購21
9701,037871　長榮元大41購10
9702,037872　長榮元大43購11
9703,037873　華航元大43購04
9704,037874　台驊控元大41購02
9705,037875　新光金元大41購02
9706,037876　威健元大3C購03
9707,037877　玉晶光元大3C購03
9708,037878　玉晶光元大43購01
9709,037879　玉晶光元大44購01
9710,03787P　T50正2凱基43售07
9711,037880　創意元大3C購07
9712,037881　創意元大41購06
9713,037882　創意元大43購03
9714,037883　群創元大3C購02
9715,037884　貿聯元大3C購06
9716,037885　正文元大3C購01
9717,037886　正文元大3C購02
9718,037887　正文元大41購01
9719,037888　致伸元大41購03
9720,037889　立積元大3C購05
9721,03788P　台光電凱基43售02
9722,037890　祥碩元大3C購06
9723,037891　祥碩元大41購02
9724,037892　祥碩元大43購01
9725,037893　訊芯元大41購03
9726,037894　保瑞元大44購04
9727,037895　緯穎元大3C購09
9728,037896　緯穎元大3C購10
9729,037897　緯穎元大43購01
9730,037898　勤誠元大3C購03
9731,037899　寶成元大3C購03
9732,03789P　興富發凱基43售03
9733,037900　世紀鋼元大3C購11
9734,037901　堤維西國泰42購01
9735,037902　信錦國泰42購01
9736,037903　台達電國泰42購02
9737,037904　鴻海國泰42購04
9738,037905　台積電國泰42購04
9739,037906　聯發科國泰42購05
9740,037907　冠德國泰42購01
9741,037908　長榮國泰42購01
9742,037909　開發金國泰42購01
9743,03790P　臺股指凱基43售56
9744,037910　正文國泰42購01
9745,037911　致伸國泰42購01
9746,037912　研揚國泰42購01
9747,037913　采鈺國泰42購01
9748,037914　南電國泰42購02
9749,037915　至上國泰42購01
9750,037916　台灣50元富3C購04
9751,037917　美債2X元富49購01
9752,037918　和大元富41購01
9753,037919　和大元富41購02
9754,03791P　臺股指凱基43售57
9755,037920　金寶元富3C購01
